key,en,ja,zh_CN
"<!MissingKey:Wait, hmm,>","Wait, hmm,
I suddenly feel... sleepy...","ちょっと待って、うう、
急に眠くなってきた…。","等等，唔，
我突然好……困……"
"<!MissingKey:Roffia, you’re saying too much.>","Roffia, you’re saying too much.
You think I won’t dare to do something about you because you’re so full of yourself?","ロフィア、お前は言い過ぎだ。
調子に乗るな、
私が手を出さないと思っているのか？","洛菲亚，你说的太多了。
得意忘形的家伙，
你真以为我不敢对你动手么？"
<!MissingKey:... >,"... 
I’ll tell my mother about this.","……
母さんに言いつけるからな。","……
我会去向母亲告状的。"
"<!MissingKey:Hahaha, so what?>","Hahaha, so what?
Such childish threats.","ハハハ、だから何だ？
本当に幼稚な脅しだな。","哈哈哈，那又如何，
真是幼稚的恐吓。"
<!MissingKey:...Unican... this must be the Trizon.>,"...Unican... this must be the Trizon.
We did it!","……ユニカン……これがトライゾンだ。
成功した！","……伟旋……这一定就是权势卡。
我们成功了！"
<!MissingKey:Wow... this is really grand.>,"Wow... this is really grand.
So it has so many monsters inside,
is this the source of its power?","わぁ…これは、本当に壮大だ。
中にこんなに多くのモンスターがいるのか、
これがこいつの力の源か？","哇……这可，真是盛大。
原来它体内有这么多怪物、
这就是这家伙强大的根源么？"
"<!MissingKey:Pfft, pfft,>","Pfft, pfft,",プッ、プッ、,噗噗、
"<!MissingKey:...Aris,>","...Aris,
why are you here?","……アリス、
どうしてここにいるんだ？","……阿瑞丝，
你为什么在这里？"
<!MissingKey:Help... >,"Help... 
Aris...","助けて… 
アリス…","救……命……
阿，瑞，丝……"
<!MissingKey:Who’s there?>,Who’s there?,誰だ？,什么人？
"<!MissingKey:Chimera,>","Chimera,
it’s acting strange—
it looks like it’s about to explode.","キメラ、
なんだかおかしいぞ—
まるで爆発しそうだ。","喀迈拉，
它的样子不对劲——
简直像是要爆开来一样。"
"<!MissingKey:This is bad, very bad,>","This is bad, very bad,
it seems like she's with Chimera.","まずい、まずいぞ、
どうやら彼女はキメラと一緒らしい。","不妙，不妙啊，
看起来她和喀迈拉是一伙的。"
"<!MissingKey:Miss,>","Miss,
this is your final warning,
don’t get in my way.","女性、
最後の警告だ、
私の邪魔をするな。","小姐，
我最后警告你一次，
不要妨碍我。"
<!MissingKey:...If I had known...>,...If I had known...,……こんなことなら、最初から知っていればよかったのに。,……早知如此……
<!MissingKey:... >,"... 
Aris wants to capture the unconscious player alive.","……
アリスは意識を失ったプレイヤーを生け捕りにしようとしている。","……
阿瑞丝想把失去意识的玩家给活捉回去，"
"<!MissingKey:Cough, cough...>","Cough, cough...",うっ、うっ…,咳，咳……
<!MissingKey:... >,"... 
You all, take the player and leave here immediately.","……
お前たち、すぐにプレイヤーを連れてここを離れろ。","……
你们几个，立刻带着玩家离开这里。"
<!MissingKey:Damn stupid pig...>,"Damn stupid pig...
Even in death, it’s causing trouble for me.","くそったれな愚かな豚…
死んでも迷惑をかけるとは。","该死的蠢猪……
死了都要给我添麻烦。"
<!MissingKey:Is she... exterminating monsters?>,"Is she... exterminating monsters?
Why is she doing this?
If we rush together, we’ll definitely die.","彼女は…モンスターの掃討か？
なぜこんなことをしている？
一緒に突っ込んだら、私たち全員死ぬぞ。","她是在……清剿怪物吗？
为什么要这么做？
但凡一起冲上来，我们必死无疑啊。"
"<!MissingKey:Then it’s your turn,>","Then it’s your turn,
since the player didn’t win this battle,
all the player’s cards will be temporarily unrecoverable.","その後はお前たちだ、
プレイヤーがこの戦闘に勝てなかったため、
プレイヤーのカードはすべて一時的に回復できなくなる。","然后轮到你们，
由于玩家没有赢得这场战斗，
玩家所有的卡也都暂时无法复原。"
"<!MissingKey:This is a critical moment, I don’t have time to be polite with you.>","This is a critical moment, I don’t have time to be polite with you.
Once I have this little brat under house arrest,
your mother will have nothing to worry about anymore.","今は本当に重要な時だ、こんなことに構ってる暇はない。
この小鬼を軟禁したら、
お前の母親の心配はすぐに消えるだろう。","正是紧要关头，我可没工夫和你客气。
等这个小鬼被我软禁之后，
你母亲的一切后顾之忧都会烟消云散。"
"<!MissingKey:Long time no see, >","Long time no see, 
Miss Roffia.
This is just a coincidence.","久しぶりだな、
ロフィアさん。
これはただの偶然だ。","好久不见，
洛菲亚小姐。
这只是个巧合。"
"<!MissingKey:Unican has already been absorbed,>","Unican has already been absorbed,
now, go back and do what you need to do.","ユニカンはもう吸収された、
さあ、やるべきことをしてきな。","伟旋已经被吸收了，
现在，回去做你该做的。"
"<!MissingKey:Don’t rush, Miss,>","Don’t rush, Miss,
can’t you see what a great opportunity this is?
I think this is something I should do as well.","焦らないで、女性、
今がいかに絶好のチャンスか分からないのか？
これも私がやるべきことだと思う。","别急啊，小姐，
你难道看不出眼前是个多么好的机会吗？
我想这同样是我应该做的事情。"
"<!MissingKey:Shan, wake up!>","Shan, wake up!
What's going on?
Is this the effect of the Trizon too?","杉、早く起きて！
どうしたの？
これもトライゾンの影響か？","杉、快醒醒！
怎么回事？
这也是权势卡的影响吗？"
"<!MissingKey:Yo, Chimera,>","Yo, Chimera,
beaten by a little brat,
still as useless as ever.","よぉ、キメラ、
小鬼にやられて散々な目に遭ってるな、
相変わらず無能だな。","哟，喀迈拉，
被一个小鬼打的落花流水，
你还是一如既往的不中用啊。"
"<!MissingKey:Wait, give us an explanation first.>","Wait, give us an explanation first.
With Shan here,
the worst case is just starting over.","待て、まず説明しろ。
杉がいる限り、
最悪の結果はただのやり直しだ。","等等，先给我们一个解释。
有杉在，
最坏的结果不过是重新来过。"
